Brand;Model;Cylinder;Cylinder_Alignment;Horsepower(HP);Torque(Nm);Top_Speed(km/h);Fuel_Consumption WLTP(L/100km);Acceleration_time(s)
BMW;G22 Series Coupe LCI M440i xDrive;6;Inline;369;500;250;7.7;4.5
BMW;G22 4 Series Coupe LCI 430i xDrive;4;Inline;242;400;250;6.9;5.7
BMW;G22 4 Series Coupe LCI 420i;4;Inline;181;300;240;6.3;7.5
BMW;G23 4 Series Cabrio LCI 420i;4;Inline;181;300;236;6.7;8.2
BMW;G23 4 Series Cabrio LCI 430i xDrive;4;Inline;242;400;250;7.3;6.3
BMW;G23 4 Series Cabrio LCI M440i xDrive;6;Inline;369;500;250;8.1;4.9
BMW;G82 M4 Coupe LCI;6;Inline;473;550;250;10.0;4.2
BMW;G82 M4 Coupe LCI Competition;6;Inline;503;650;250;9.7;3.9
BMW;G82 M4 Coupe LCI xDrive Competition;6;Inline;523;650;250;10.0;3.5
BMW;G83 M4 Cabrio LCI Competition xDrive;6;Inline;523;650;250;10.2;3.7
BMW;CSL 3.0;6;Inline;552;550;300;11.0;3.9
BMW;G22 4 Series Coupe 420i;4;Inline;181;300;240;5.3;7.5
BMW;G22 4 Series Coupe 430i;4;Inline;254;400;250;5.7;5.8
BMW;G22 4 Series Coupe M4;6;Inline;473;550;250;10.3;4.2
BMW;G22 4 Series Coupe M4 Competition;6;Inline;503;650;250;10.0;3.9
BMW;G22 4 Series Coupe M4 xDrive Competition;6;Inline;503;650;250;10.0;3.5
BMW;G22 4 Series Coupe M440i xDrive;6;Inline;369;500;250;6.8;4.5
BMW;G23 4 Series Cabrio 420i;4;Inline;181;300;236;6.7;8.2
BMW;G23 4 Series Cabrio 430i;4;Inline;254;400;250;6.9;6.2
BMW;G23 4 Series Cabrio M4 xDrive;6;Inline;503;650;250;10.2;3.7
BMW;G23 4 Series Cabrio M440i xDrive;6;Inline;369;500;250;7.8;4.9
BMW;G26 4 Series Gran Coupe 420i;4;Inline;181;300;235;6.6;7.9
BMW;G26 4 Series Gran Coupe 420i Auto;4;Inline;181;300;235;6.6;7.9
BMW;G26 4 Series Gran Coupe 430i;4;Inline;242;400;250;6.8;6.2
BMW;G26 4 Series Gran Coupe 430i Auto;4;Inline;242;400;250;6.9;6.2
BMW;G26 4 Series Gran Coupe 430i xDrive;4;Inline;242;400;250;7.1;6.1
BMW;G26 4 Series Gran Coupe 430i xDrive Auto;4;Inline;242;400;250;7.1;6.1
BMW;G26 4 Series Gran Coupe M440i xDrive;6;Inline;369;500;250;8.0;4.7
BMW;G26 4 Series Gran Coupe M440i Mild Hybrid xDrive Auto;6;Inline;369;500;250;7.6;5.0
BMW;F32 LCI 4 Series Coupe 420i;4;Inline;181;290;236;5.8;7.3
BMW;F32 LCI 4 Series Coupe 420i Auto;4;Inline;181;270;236;5.6;7.5
BMW;F32 LCI 4 Series Coupe 420i xDrive;4;Inline;181;270;233;6.6;7.6
BMW;F32 LCI 4 Series Coupe 420i xDrive Auto;4;Inline;181;270;231;5.9;7.8
BMW;F32 LCI 4 Series Coupe 430i;4;Inline;249;350;250;6.1;5.9
BMW;F32 LCI 4 Series Coupe 430i Auto;4;Inline;249;350;250;5.5;5.8
BMW;F32 LCI 4 Series Coupe 430i xDrive;4;Inline;249;350;250;5.9;5.8
BMW;F32 LCI 4 Series Coupe 440i;6;Inline;322;450;250;7.4;5.2
BMW;F32 LCI 4 Series Coupe 440i Auto;6;Inline;322;450;250;6.6;5.0
BMW;F32 LCI 4 Series Coupe 440i xDrive;6;Inline;322;450;250;7.7;5.0
BMW;F32 LCI 4 Series Coupe 440i xDrive Auto;6;Inline;322;450;250;7.0;4.9
BMW;F32 LCI 4 Series Coupe M4 CS;6;Inline;454;600;280;8.4;3.9
Aston Martin;Aston Martin DBS Superleggera 5.2 V12;12;V;715;900;338;12.5;3.4
Aston Martin;Aston Martin DBS Superleggera 770 Ultimate 5.2 V12;12;V;760;900;340;13.5;3.4
Aston Martin;DBS Superleggera 770 Ultimate Volante 5.2 V12;12;V;760;900;340;13.5;3.6
Aston Martin;DBS Superleggera Volante 5.2 V12;12;V;715;900;340;12.4;3.6
Aston Martin;DBS;12;V;510;570;307;16.4;4.3
Aston Martin;DBS Touchtronic II;12;V;510;570;295;15.5;4.3
Aston Martin;DBS Volante;12;V;510;570;307;16.4;4.3
Aston Martin;DBS Volante Touchtronic II;12;V;510;570;295;15.5;4.3
Aston Martin;Vantage 2019 AMR;8;V;503;685;314;10.3;3.6
Aston Martin;Vantage 2019 V8;8;V;503;685;314;10.5;3.7
Aston Martin;Vantage Roadster V12;12;V;690;735;322;13.5;3.6
Aston Martin;Vantage Roadster V8;8;V;503;685;306;11.6;3.8
Aston Martin;V8 Vantage Coupe;8;V;375;410;280;;5.0
Aston Martin;V8 Vantage GT8;8;V;440;490;306;;
Aston Martin;V8 Vantage GT8 Sportshift II;8;V;440;490;306;;
